user_id,predict_label,true_label
100010558,1,1
1000133770,0,0
100157364,0,0
10017157,1,1
10021188,1,1
100248234,1,0
10025,1,1
1002644397,1,1
1002765,1,1
1003318319,1,1
10034592,1,1
1004004,1,1
1004093,1,0
100411578,0,1
10042474,1,1
1004302,1,0
100434920,0,0
1004377,1,1
1004524,1,0
1004965,1,1
100503169,0,0
1005277735,1,1
100594135,1,1
100600199,1,1
10061005,1,1
100636,1,1
1006935,1,1
1007074,1,0
10073874,1,1
1007391,1,1
1007551,1,1
100782,1,1
1007915710,1,1
1007970,1,1
1008009,1,1
1008445,1,0
1008682,0,0
1008809497,1,1
10095440,1,1
100957255,1,1
100958424,1,1
10100133,1,0
1010324,1,1
101041,1,1
101096583,0,0
10112304,1,1
10119885,1,1
1012086,1,1
10125746,0,0
101281730,1,1
10131238,1,1
101355975,1,0
1013729,1,1
1013867,1,1
1013981,1,1
1014126,1,1
1014230,1,1
10146834,1,1
1014699303,1,0
1014995,1,1
101529958,1,0
1015551,1,1
1015713500,1,1
101580342,1,1
101588587,1,0
1015891,1,1
10161180,1,0
10161821,1,1
10168840,1,1
101719016,1,1
101726,1,0
1017516288,1,0
10179427,1,1
1018027,1,0
1018072,1,0
1018422,1,1
101860,1,0
101881,1,0
1019076,1,1
101917674,0,0
10192866,1,0
10195082,1,1
10195472,1,1
1019584695,1,0
10197156,1,1
10197181,1,1
102000397,1,1
10201673,1,1
1020366,1,1
10206931,1,1
1021825471,1,1
10219578,1,1
10221074,1,1
10224616,1,0
10224659,1,1
10224854,1,1
10226877,1,1
1022862,0,0
1023005,1,1
102303122,1,1
1023317,1,1
10237055,1,1
102391223,1,1
1024232,1,1
10242712,1,1
10243163,0,0
10245643,1,1
1024564509,1,1
1024603006,1,1
102473578,1,1
1024768,1,0
10250327,1,0
10255791,1,1
1025713,1,1
102572,1,1
1026259143,1,0
1026864686,1,1
1026914,1,1
102714059,1,1
10272675,1,1
102731,1,1
1027756732,1,1
1027962,1,1
10280036,1,1
1028524,1,1
10285485,1,0
102857505,1,0
102869695,1,0
102875710,0,0
10287677,1,1
102882,1,1
10290406,1,1
102910,1,1
102947209,0,0
1029518,1,1
10297742,1,1
1029842,1,1
10301004,1,1
10301261,1,1
1030295,1,1
103046374,1,1
103062,1,1
10309576,1,1
1031073,1,1
103108489,1,1
1031227,1,1
1031364,1,1
10314011,0,0
103171,1,0
103175305,1,0
103194365,1,1
10321324,1,1
1032167,1,1
10321924,1,1
1032217047,1,0
1032489081,0,0
103250880,1,1
1032508880,1,1
1032718645,1,1
10328058,0,1
1033205,1,1
10332220,1,1
1033356,1,1
1033727,1,1
10338398,1,1
1034176944,1,1
10345169,1,0
103503573,1,1
10352632,1,1
1035410,1,1
1035446026,1,1
103563785,1,0
10357175,1,1
1036063,1,1
1036126,1,1
1037024,1,1
1037159,1,1
103720763,0,0
1037403094,1,1
1037669,1,1
103776045,1,0
103781715,1,1
1038047,1,1
103879919,1,1
1039546008,1,1
1040481,1,1
10404811,1,1
10409790,1,1
1041284,1,1
10413172,1,0
1041357,1,1
10416578,1,0
10420009,1,1
1042012283,0,0
104204316,1,1
1042100,1,1
10427920,1,1
1042838,1,1
1043186838,1,1
10435962,1,1
104387,0,0
104394,0,0
104409692,1,1
104437829,1,0
104446905,1,1
1044511662,1,1
104467654,1,1
104514908,1,1
1045306,1,1
1045429,1,0
10458650,1,1
104642051,1,1
104647238,1,0
104654430,1,1
10466657,1,1
104671,1,1
10467389,1,1
1046943,1,1
10470637,1,1
1047075,1,1
10473055,1,1
104733969,1,1
10473499,1,0
1047496,1,1
10477161,1,1
1047779,1,1
104792795,1,0
10480057,1,1
10480167,1,1
10480666,0,1
1048171311,1,1
1048583,1,0
1048642,1,1
10487390,1,1
10488726,1,1
104896,0,0
1048974,1,1
1049246,1,1
10492974,1,1
104942204,1,1
10497993,1,1
1050036560,1,1
105009189,1,1
1050362205,1,1
1050584,1,1
105072446,1,1
105124322,1,1
1051294272,1,1
10513160,0,0
1051447,1,1
1051542,1,1
10517132,1,1
10520928,1,1
1052183,1,1
1052200,0,0
10522690,1,1
1052290740,1,1
1052854,1,0
105314344,1,1
1053220,1,1
1053241,1,0
105360,0,0
105379,1,1
10540033,1,1
1054042,1,1
10540553,1,1
1054124,1,1
10542408,1,1
10544270,1,1
1054430568,1,0
10545370,1,1
10545449,1,1
1054602254,1,0
10546494,1,0
10549827,1,1
1055280135,1,0
1055361,1,1
1055425,1,1
10555097,1,1
105551234,1,1
10556652,1,1
105575354,1,0
105580,1,1
1055949677,1,1
10561723,1,1
105623712,1,1
10564357,0,0
10568016,1,0
10568301,0,0
1057087,1,1
10571988,1,1
105735076,1,0
10573630,1,1
1057444157,0,0
10575754,0,0
105770850,0,1
10578942,0,0
1058209,1,1
105828692,1,1
1058683,1,1
1058724975,1,1
1058749,1,1
10589237,1,0
10590611,1,0
10594191,1,1
105944514,1,1
1059542040,0,0
106007211,1,1
1060567614,1,1
10606206,1,1
1060636,1,0
1060683986,1,1
10607448,1,1
106075467,1,1
106081,0,0
10609894,1,1
1061025,1,1
10610725,1,1
10613183,1,1
10614814,1,0
10615039,1,1
10616519,0,0
10619140,1,1
1062412,1,1
10624417,1,1
106255,1,1
10625961,1,1
1062792,1,1
1063024,1,1
10636074,1,0
1063618,1,1
10647575,0,1
106487462,1,1
10648837,1,0
10651803,1,1
10652836,0,1
1065346231,1,1
10654254,1,1
1065738,1,1
10661644,1,1
106622342,0,0
106631,0,0
10663137,1,1
106653692,1,1
10666653,1,1
1066945,1,1
1066989192,0,0
10671252,1,0
10671358,1,1
1067207444,1,1
1067292749,1,1
1067429,1,1
10677270,1,1
1067850596,1,0
106788253,1,0
1068123,1,1
106855212,0,1
1068609123,0,0
106865281,1,0
10687595,0,0
1068843,1,1
1069416,1,1
1069677,1,0
106989323,1,1
107019027,1,1
107050992,1,1
107051913,1,0
1070555,1,1
1070686295,1,1
1070820,1,1
1071560138,0,0
10719,1,1
1072043410,1,1
10721882,1,1
107228,1,1
1072503550,1,1
107265404,1,1
10730262,0,1
107330,1,0
107358657,1,1
1073793,1,1
1074649,1,1
10747078,1,1
1074994522,1,1
107568461,1,1
107569007,1,1
107577743,1,1
1075787,1,1
107583113,1,1
107623566,1,0
1076553,1,1
1077874,1,1
107791368,1,1
10779859,1,1
1078120,1,1
1078250,1,1
107857,1,1
1078639,0,0
107873,0,0
1080506,1,1
108114295,0,0
1081404883,0,0
108159652,1,1
1082347,1,1
10825420,1,1
1082624,1,1
108286531,1,1
1082951170,1,1
108302005,0,0
10830934,1,1
108313,1,1
1083197,1,1
108341318,1,1
1084196,1,1
108439589,1,1
10846786,1,1
1085220,1,1
10852491,1,0
108529826,0,0
1085367,1,1
1085388,1,1
10854056,0,0
108565962,1,0
10861385,1,0
108621,1,1
108684796,1,0
1087032,1,1
1087193,1,1
10875652,1,1
108863652,1,1
1088935244,0,0
1089042182,1,0
1089177481,1,0
1089392,1,1
108975325,1,1
1090068323,1,1
10906665,1,1
10915005,1,1
10916117,1,1
1091899,1,1
109259704,1,1
109282015,1,1
1093233444,1,0
1093705,1,1
1093933,1,1
109397513,0,0
10940745,1,1
109414597,1,1
109421867,0,0
109431707,1,1
1094702,1,0
10947735,1,1
1095072,1,1
1095487443,1,1
10956,0,0
109583314,1,1
10961,1,1
1096263,1,0
10963345,1,1
1096405248,1,1
109665909,1,0
1096672,1,1
